Case_ID,Region,Country,Pollutant_Type,Pollutant_Concentration_mg_kg,Soil_pH,Temperature_C,Humidity_%,Rainfall_mm,Crop_Type,Farming_Practice,Nearby_Industry,Water_Source_Type,Soil_Texture,Soil_Organic_Matter_%,Disease_Type,Disease_Severity,Health_Symptoms,Age_Group_Affected,Gender_Most_Affected,Mitigation_Measure,Case_Resolved,Follow_Up_Required,year,Soil_pH_ss,Rainfall_mm_ss
100000,0,8,3,1034,8.3,35.6,64.9,62.4,5,1,2,4,2,1.98,1,1,1,0,2,3,0,1,2024,1.5746823350102819,-1.1966457398850556
100001,0,3,3,158,7.96,31.0,73.1,8.2,2,3,2,0,3,9.71,0,0,1,2,0,1,1,0,2024,1.2831147260183324,-1.6669168972495068
100002,3,3,3,2333,5.35,16.4,33.8,121.7,4,2,1,3,0,5.49,1,2,4,1,0,4,1,0,2025,-0.9550954488904504,-0.6821239754623262
100003,1,9,3,1194,5.66,31.4,30.5,116.9,5,3,4,0,3,3.98,2,2,2,0,2,1,1,0,2024,-0.689254393633085,-0.7237716056348237
100004,0,4,2,1252,7.64,17.0,58.6,237.0,1,1,1,4,1,0.94,4,1,1,1,1,3,1,1,2023,1.0086981528494394,0.3182868076395409
100005,3,7,3,1691,5.18,12.3,91.2,386.3,4,0,4,2,1,8.18,1,2,4,0,0,0,1,1,2024,-1.1008792533864247,1.6137016377965987
100006,1,0,5,835,4.89,33.9,53.0,48.8,0,1,3,1,1,5.2,2,0,0,0,2,1,0,1,2024,-1.3495692728207338,-1.3146473587071321
100007,4,7,5,86,8.14,19.1,69.7,124.7,1,2,4,1,2,5.44,4,0,1,1,0,0,0,1,2023,1.4374740484258353,-0.6560942066045152
100008,2,1,2,1500,5.24,43.9,78.1,375.8,4,1,0,2,2,9.0,3,0,0,2,1,3,1,0,2023,-1.049426145917257,1.5225974467942605
100009,3,1,4,1661,8.19,13.1,34.7,18.1,5,2,3,2,2,3.59,0,1,1,1,2,4,1,1,2025,1.4803516379834738,-1.5810186600187306
